Nome,Link
Baixada em Pauta #34: Porto de Santos para quem não entende do assunto,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/07/09/baixada-em-pauta-34-porto-de-santos-para-quem-nao-entende-do-assunto.ghtml
Baixada em Pauta #33: 'Sommelier' de vacina gera atraso na fila da imunização,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/07/02/baixada-em-pauta-33-sommelier-de-vacina-e-o-atraso-na-fila-por-escolha-de-qual-dose-tomar.ghtml
Baixada em Pauta #32: Práticos evitaram danos maiores de navio em terminal de balsas em Guarujá,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/06/25/baixada-em-pauta-32-praticos-evitaram-danos-maiores-de-navio-em-terminal-de-balsas-em-guaruja.ghtml
Baixada em Pauta #31: A necessidade do sequenciamento genético da Covid-19,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/06/18/baixada-em-pauta-31-a-necessidade-do-sequenciamento-genetico-da-covid-19.ghtml
Baixada em Pauta #30: Os desafios das aulas remotas para alunos das periferias ,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/06/11/baixada-em-pauta-30-os-desafios-das-aulas-remotas-para-alunos-das-periferias.ghtml
Baixada em Pauta #29: Isolamento social gera mais conflitos entre casais e aumenta procura por terapia,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/06/04/baixada-em-pauta-29-isolamento-social-gera-mais-conflitos-entre-casais-e-aumenta-procura-por-terapia.ghtml
Baixada em Pauta #28: Delegado explica como desvendou mistério de homicídio duplo em Peruíbe,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/05/28/baixada-em-pauta-28-delegado-explica-como-desvendou-misterio-de-homicidio-duplo-em-peruibe.ghtml
"Baixada em Pauta #27: Eventos, festas e cerimônias em pausa durante a pandemia",https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/05/21/baixada-em-pauta-27-eventos-festas-e-cerimonias-em-pausa-durante-a-pandemia.ghtml
Baixada em Pauta #26: A luta e o luto de Padre Cláudio Scherer pela Covid-19,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/05/14/baixada-em-pauta-26-a-luta-e-o-luto-de-padre-claudio-scherer-pela-covid-19.ghtml
Baixada em Pauta #25: O atraso da segunda dose de CoronaVac na Baixada Santista,https://g1.globo.com/sp/santos-regiao/podcast/baixada-em-pauta/noticia/2021/05/07/baixada-em-pauta-25-o-atraso-da-segunda-dose-de-coronavac-na-baixada-santista.ghtml
